"Period","Carbon_dioxide_emissions_by_industrial_processes_and_use_of_products",
"2015","54,111.7609874494",
"2014","55,524.9100533827",
"2013","52,813.5891641432",
"2012","52,697.5687136931",
"2011","52,306.1807954529",
"2010","50,352.1227381502",
"2009","46,408.1359556318",
"2008","49,496.0406323162",
"2007","47,944.8985929775",
"2006","44,191.599426731",
"2005","41,449.9457591023",
"2004","39,360.9031929166",
"2003","37,345.4243204751",
"2002","35,495.1163789629",
"2001","34,618.1896365054",
"2000","38,547.1305806435",
"1999","39,026.4444002983",
"1998","38,614.0106506147",
"1997","38,278.1338866554",
"1996","37,556.6240045568",
"1995","33,850.2630684099",
"1994","34,672.2236500074",
"1993","32,145.3407138424",
"1992","32,118.2069737094",
"1991","31,518.1051304495",
"1990","32,624.8565322789",
