"Period","CO2_emissions,_kg_per_purchasing_power_parity_$_GDP",
"2015","0.347482590045434",
"2014","0.352030543809248",
"2013","0.360299858879727",
"2012","0.360154354282559",
"2011","0.37741019892002",
"2010","0.384281616857265",
"2009","0.40545492664476",
"2008","0.395600158035884",
"2007","0.374007038940336",
"2006","0.364649126374468",
"2005","0.36634278719315",
"2004","0.36324164177065",
"2003","0.370240726922728",
"2002","0.371831262031496",
"2001","0.358325212617985",
"2000","0.361555521428121",
"1999","0.368676127787953",
"1998","0.389291321804671",
"1997","0.389868670095932",
"1996","0.396953265962241",
"1995","0.404822271653357",
"1994","0.388477082273878",
"1993","0.387215223319488",
"1992","0.39803329358111",
"1991","0.410753328149176",
"1990","0.420076926767492",
